iter	Passed	Remaining
407	5942	8622
408	5956	8606
409	5969	8590
410	5985	8578
411	6000	8563
412	6016	8551
413	6030	8535
414	6044	8519
415	6058	8504
416	6072	8490
417	6087	8476
418	6101	8460
419	6115	8444
420	6129	8429
421	6141	8411
422	6154	8395
423	6168	8380
424	6183	8365
425	6196	8348
426	6210	8333
427	6224	8318
428	6236	8300
429	6251	8286
430	6273	8282
431	6295	8277
432	6310	8262
433	6323	8246
434	6337	8231
435	6349	8213
436	6364	8200
437	6379	8185
438	6394	8171
439	6408	8156
440	6423	8142
441	6438	8127
442	6452	8112
443	6464	8095
444	6480	8082
445	6494	8066
446	6508	8051
447	6522	8037
448	6537	8022
449	6550	8006
450	6562	7988
451	6578	7975
452	6593	7961
453	6608	7947
454	6620	7930
455	6634	7915
456	6649	7900
457	6665	7888
458	6680	7873
459	6692	7856
460	6706	7840
461	6720	7826
462	6734	7810
463	6748	7796
464	6763	7782
465	6778	7767
466	6794	7754
467	6806	7737
468	6820	7721
469	6833	7705
470	6847	7690
471	6861	7675
472	6876	7661
473	6891	7647
474	6903	7630
475	6918	7615
476	6933	7601
477	6945	7584
478	6959	7569
479	6973	7555
480	6989	7541
481	7001	7524
482	7016	7510
483	7031	7496
484	7047	7483
485	7061	7468
486	7075	7453
487	7091	7440
488	7106	7426
489	7120	7411
490	7132	7394
491	7146	7378
492	7160	7363
493	7173	7347
494	7189	7334
495	7205	7321
496	7218	7305
497	7233	7292
498	7246	7275
499	7267	7267
500	7284	7255
501	7298	7240
502	7311	7224
503	7327	7210
504	7340	7195
505	7357	7182
506	7373	7169
507	7387	7154
508	7401	7139
509	7415	7124
510	7430	7110
511	7453	7104
512	7472	7094
513	7488	7080
514	7505	7068
515	7522	7056
516	7540	7044
517	7554	7029
518	7567	7013
519	7581	6998
520	7595	6983
521	7610	6969
522	7622	6951
523	7635	6935
524	7649	6921
525	7663	6905
526	7678	6891
527	7692	6876
528	7706	6861
529	7720	6846
530	7734	6831
531	7746	6814
532	7761	6800
533	7775	6785
534	7788	6769
535	7804	6756
536	7819	6742
537	7835	6728
538	7849	6713
539	7862	6697
540	7876	6683
541	7891	6668
542	7907	6654
543	7921	6639
544	7936	6625
545	7952	6612
546	7968	6599
547	7982	6584
548	7997	6569
549	8011	6555
550	8023	6538
551	8038	6524
552	8052	6509
553	8066	6493
554	8080	6479
555	8095	6464
556	8109	6449
557	8121	6433
558	8137	6420
559	8152	6405
560	8168	6392
561	8182	6377
562	8196	6362
563	8211	6347
564	8228	6335
565	8249	6325
566	8262	6310
567	8277	6295
568	8291	6280
569	8305	6265
570	8318	6249
571	8332	6234
572	8345	6219
573	8359	6203
574	8374	6190
575	8390	6176
576	8405	6162
577	8419	6146
578	8431	6130
579	8445	6115
580	8459	6100
581	8473	6086
582	8488	6071
583	8502	6056
584	8516	6041
585	8529	6026
586	8543	6011
587	8558	5996
588	8571	5981
589	8587	5967
590	8602	5953
591	8617	5939
592	8633	5925
593	8646	5909
594	8658	5893
595	8673	5879
596	8686	5863
597	8701	5849
598	8715	5834
599	8729	5819
600	8745	5806
601	8759	5791
602	8773	5775
603	8787	5761
604	8802	5747
605	8818	5733
606	8832	5718
607	8846	5703
608	8861	5689
609	8875	5674
610	8888	5659
611	8903	5644
612	8918	5630
613	8933	5615
614	8947	5601
615	8962	5586
616	8977	5572
617	8991	5558
618	9005	5542
619	9022	5529
620	9034	5514
621	9049	5499
622	9064	5484
623	9077	5469
624	9091	5454
625	9105	5440
626	9120	5425
627	9132	5409
628	9146	5394
629	9161	5380
630	9174	5365
631	9189	5350
632	9209	5339
633	9227	5327
634	9242	5312
635	9256	5297
636	9268	5281
637	9282	5266
638	9294	5250
639	9309	5236
640	9322	5221
641	9336	5206
642	9350	5191
643	9366	5177
644	9383	5164
645	9405	5154
646	9424	5141
647	9441	5128
648	9457	5114
649	9474	5101
650	9488	5086
651	9501	5071
652	9516	5057
653	9532	5043
654	9547	5028
655	9561	5013
656	9575	4999
657	9589	4984
658	9602	4968
659	9615	4953
660	9630	4939
661	9643	4923
662	9658	4909
663	9675	4895
664	9689	4880
665	9703	4866
666	9719	4852
667	9734	4838
668	9747	4822
669	9761	4807
670	9776	4793
671	9789	4778
672	9804	4763
673	9818	4749
674	9833	4734
675	9847	4719
676	9859	4703
677	9874	4689
678	9889	4675
679	9903	4660
680	9918	4645
681	9932	4631
682	9948	4617
683	9962	4602
684	9974	4586
685	9990	4572
686	10003	4557
687	10017	4542
688	10032	4528
689	10046	4513
690	10060	4498
691	10073	4483
692	10086	4468
693	10101	4453
694	10115	4439
695	10130	4424
696	10144	4409
697	10157	4394
698	10171	4380
699	10194	4368
700	10208	4354
701	10221	4339
702	10234	4323
703	10249	4309
704	10263	4294
705	10276	4279
706	10291	4265
707	10307	4250
708	10322	4236
709	10337	4222
710	10350	4207
711	10362	4191
712	10376	4176
713	10390	4162
714	10403	4146
715	10417	4132
716	10430	4116
717	10445	4102
718	10460	4088
719	10474	4073
720	10487	4058
721	10502	4043
722	10517	4029
723	10531	4014
724	10543	3999
725	10557	3984
726	10573	3970
727	10588	3956
728	10602	3941
729	10616	3926
730	10630	3912
731	10645	3897
732	10658	3882
733	10672	3867
734	10687	3853
735	10703	3839
736	10718	3824
737	10733	3810
738	10749	3796
739	10763	3781
740	10776	3766
741	10791	3752
742	10803	3737
743	10818	3722
744	10832	3707
745	10848	3693
746	10862	3678
747	10876	3664
748	10891	3650
749	10906	3635
750	10921	3620
751	10934	3606
752	10950	3591
753	10964	3577
754	10979	3562
755	10993	3548
756	11006	3533
757	11020	3518
758	11032	3503
759	11048	3488
760	11062	3474
761	11077	3459
762	11091	3445
763	11106	3430
764	11121	3416
765	11134	3401
766	11155	3388
767	11172	3374
768	11185	3360
769	11201	3345
770	11215	3331
771	11226	3315
772	11241	3301
773	11257	3286
774	11271	3272
775	11284	3257
776	11297	3242
777	11309	3227
778	11329	3214
779	11352	3201
780	11370	3188
781	11387	3174
782	11403	3160
783	11420	3146
784	11435	3132
785	11449	3117
786	11465	3103
787	11480	3088
788	11494	3074
789	11510	3059
790	11525	3045
791	11540	3030
792	11553	3015
793	11567	3001
794	11580	2986
795	11592	2971
796	11607	2956
797	11621	2941
798	11633	2926
799	11648	2912
800	11664	2897
801	11678	2883
802	11693	2868
803	11707	2854
804	11721	2839
805	11735	2824
806	11748	2809
807	11764	2795
808	11778	2780
809	11792	2766
810	11806	2751
811	11821	2737
812	11835	2722
813	11849	2707
814	11862	2692
815	11877	2678
816	11893	2663
817	11908	2649
818	11921	2634
819	11935	2619
820	11949	2605
821	11965	2591
822	11980	2576
823	11993	2561
824	12007	2547
825	12022	2532
826	12035	2517
827	12049	2503
828	12065	2488
829	12079	2474
830	12093	2459
831	12105	2444
832	12119	2429
833	12147	2417
834	12162	2403
835	12177	2388
836	12191	2374
837	12203	2359
838	12218	2344
839	12234	2330
840	12247	2315
841	12262	2301
842	12278	2286
843	12294	2272
844	12308	2257
845	12323	2243
846	12334	2228
847	12348	2213
848	12363	2198
849	12376	2184
850	12391	2169
851	12405	2154
852	12419	2140
853	12433	2125
854	12448	2111
855	12463	2096
856	12477	2082
857	12490	2067
858	12503	2052
859	12517	2037
860	12528	2022
861	12543	2008
862	12558	1993
863	12571	1978
864	12586	1964
865	12601	1949
866	12615	1935
867	12626	1920
868	12641	1905
869	12655	1891
870	12672	1876
871	12685	1862
872	12699	1847
873	12714	1832
874	12728	1818
875	12740	1803
876	12755	1788
877	12769	1774
878	12783	1759
879	12797	1745
880	12810	1730
881	12822	1715
882	12837	1700
883	12851	1686
884	12866	1671
885	12880	1657
886	12895	1642
887	12908	1628
888	12923	1613
889	12936	1598
890	12952	1584
891	12967	1570
892	12983	1555
893	12996	1540
894	13010	1526
895	13025	1511
896	13039	1497
897	13054	1482
898	13067	1468
899	13085	1453
900	13098	1439
901	13122	1425
902	13137	1411
903	13151	1396
904	13166	1382
905	13179	1367
906	13194	1352
907	13209	1338
908	13223	1323
909	13237	1309
910	13251	1294
911	13265	1280
912	13281	1265
913	13303	1251
914	13324	1237
915	13341	1223
916	13357	1209
917	13374	1194
918	13389	1180
919	13402	1165
920	13415	1150
921	13430	1136
922	13443	1121
923	13455	1106
924	13469	1092
925	13485	1077
926	13499	1063
927	13515	1048
928	13531	1034
929	13546	1019
930	13561	1005
931	13574	990
932	13589	975
933	13601	961
934	13616	946
935	13629	931
936	13644	917
937	13660	902
938	13675	888
939	13690	873
940	13705	859
941	13716	844
942	13733	830
943	13748	815
944	13763	801
945	13777	786
946	13792	771
947	13808	757
948	13823	742
949	13838	728
950	13852	713
951	13864	699
952	13879	684
953	13894	669
954	13907	655
955	13922	640
956	13937	626
957	13951	611
958	13966	597
959	13979	582
960	13992	567
961	14007	553
962	14020	538
963	14034	524
964	14049	509
965	14063	494
966	14074	480
967	14098	466
968	14113	451
969	14128	436
970	14141	422
971	14155	407
972	14169	393
973	14184	378
974	14198	364
975	14212	349
976	14226	334
977	14238	320
978	14251	305
979	14265	291
980	14280	276
981	14294	262
982	14308	247
983	14320	232
984	14334	218
985	14349	203
986	14365	189
987	14380	174
988	14393	160
989	14407	145
990	14421	130
991	14433	116
992	14447	101
993	14461	87
994	14474	72
995	14489	58
996	14504	43
997	14517	29
998	14530	14
999	14560	0
