iter	RMSE
322	6033.994181
323	6032.321529
324	6029.08882
325	6025.185697
326	6023.500846
327	6018.651827
328	6017.384889
329	6014.549616
330	6010.935391
331	6008.97022
332	6005.20387
333	6002.420881
334	5999.990963
335	5997.788264
336	5995.542762
337	5992.622551
338	5990.671658
339	5988.901476
340	5986.168426
341	5983.787326
342	5981.389242
343	5977.42326
344	5975.791284
345	5973.603653
346	5972.304486
347	5970.176501
348	5968.11772
349	5966.869234
350	5966.067169
351	5963.513347
352	5961.847094
353	5959.800034
354	5958.059552
355	5955.7992
356	5953.251145
357	5951.724149
358	5950.307828
359	5948.560947
360	5947.296021
361	5945.343518
362	5941.264049
363	5939.506265
364	5936.906718
365	5934.52665
366	5932.637214
367	5931.212733
368	5928.186812
369	5925.902917
370	5923.959532
371	5920.782851
372	5918.456278
373	5915.208698
374	5914.095755
375	5911.75514
376	5908.395637
377	5906.355627
378	5904.108551
379	5902.433241
380	5900.111992
381	5898.671321
382	5896.842787
383	5893.830799
384	5890.818617
385	5888.662145
386	5886.360016
387	5883.601333
388	5881.526847
389	5879.308556
390	5876.910828
391	5874.966924
392	5873.682417
393	5871.066221
394	5869.225566
395	5866.458459
396	5864.655748
397	5862.280255
398	5860.721159
399	5858.757384
400	5855.443745
401	5853.335826
402	5850.726532
403	5844.968952
404	5842.554368
405	5840.494583
406	5839.112936
407	5838.00828
408	5833.104951
409	5832.487266
410	5830.445857
411	5827.851369
412	5825.255245
413	5823.923838
414	5821.191014
415	5818.91686
416	5816.62274
417	5814.399725
418	5812.829566
419	5811.391923
420	5809.42807
421	5808.331988
422	5805.938501
423	5804.846338
424	5802.989989
425	5801.03613
426	5798.195312
427	5796.779033
428	5795.885433
429	5793.510416
430	5790.579874
431	5788.379676
432	5786.262919
433	5784.561339
434	5783.120777
435	5782.093128
436	5780.104615
437	5778.182881
438	5774.113186
439	5771.789986
440	5770.009908
441	5768.772568
442	5767.171392
443	5766.012913
444	5762.904091
445	5761.212638
446	5759.350936
447	5756.551193
448	5754.400136
449	5753.186871
450	5751.468233
451	5750.128871
452	5748.122372
453	5746.687817
454	5745.437001
455	5744.031133
456	5742.065973
457	5740.791205
458	5739.681746
459	5737.718723
460	5735.823692
461	5734.866505
462	5733.038084
463	5730.135856
464	5728.068179
465	5725.021158
466	5723.7102
467	5722.197402
468	5719.813469
469	5718.058148
470	5716.014826
471	5714.38747
472	5713.010221
473	5711.947741
474	5710.937344
475	5709.205502
476	5706.396588
477	5705.491528
478	5704.029285
479	5700.014813
480	5696.479079
481	5693.756328
482	5692.465635
483	5690.975243
484	5689.462636
485	5686.512186
486	5684.931037
487	5683.766388
488	5682.658083
489	5679.20063
490	5677.708909
491	5676.549218
492	5674.944677
493	5673.25563
494	5672.104227
495	5670.530589
496	5669.242294
497	5667.469263
498	5665.917004
499	5664.702664
500	5661.183393
501	5659.913384
502	5658.423525
503	5656.655278
504	5655.738822
505	5652.771452
506	5650.421091
507	5648.689338
508	5646.530605
509	5645.139723
510	5643.485034
511	5642.531156
512	5640.352053
513	5638.791439
514	5636.85782
515	5634.190145
516	5631.5643
517	5630.270606
518	5629.124323
519	5626.84352
520	5624.747334
521	5622.134867
522	5621.332278
523	5617.759292
524	5616.779647
525	5614.713485
526	5610.686119
527	5607.444772
528	5605.186847
529	5603.474443
530	5601.384912
531	5600.037805
532	5598.73721
533	5597.314881
534	5595.919616
535	5594.357722
536	5591.587126
537	5590.136041
538	5588.234289
539	5586.934121
540	5584.770292
541	5582.959166
542	5581.88986
543	5578.902648
544	5577.023932
545	5575.074952
546	5572.298843
547	5570.767901
548	5568.945252
549	5567.505004
550	5564.964978
551	5563.100397
552	5561.335431
553	5560.321229
554	5558.437611
555	5556.190584
556	5554.480036
557	5552.992628
558	5551.739297
559	5550.523615
560	5547.964445
561	5546.871291
562	5545.390652
563	5543.477072
564	5541.387433
565	5538.713653
566	5537.968016
567	5536.479018
568	5534.822483
569	5533.544561
570	5529.785391
571	5528.15531
572	5527.048594
573	5525.10643
574	5523.910558
575	5522.615227
576	5520.823934
577	5518.610305
578	5517.545379
579	5516.429455
580	5514.159245
581	5512.928866
582	5510.053783
583	5508.758934
584	5507.451232
585	5504.23714
586	5501.833371
587	5499.935901
588	5498.971807
589	5497.64854
590	5496.70862
591	5494.932212
592	5493.406662
593	5491.57442
594	5490.060168
595	5488.21663
596	5487.229535
597	5486.358137
598	5485.276822
599	5484.61338
600	5483.848659
601	5482.401477
602	5480.496309
603	5478.421632
604	5476.556675
605	5474.522783
606	5472.667284
607	5471.89885
608	5469.548046
609	5468.271239
610	5466.233282
611	5464.760687
612	5461.608253
613	5460.717035
614	5459.275582
615	5455.020988
616	5452.412161
617	5451.585259
618	5450.97592
619	5449.262739
620	5447.942962
621	5446.088087
622	5443.544596
623	5443.203324
624	5440.44907
625	5439.239496
626	5438.532674
627	5437.561359
628	5436.230995
629	5432.977494
630	5431.057243
631	5429.096215
632	5427.582808
633	5426.725859
634	5425.518516
635	5424.80873
636	5424.203221
637	5422.919469
638	5421.722365
639	5419.376077
640	5418.209404
641	5417.474125
642	5416.041812
643	5413.300114
644	5411.911987
645	5410.590769
646	5409.166316
647	5407.590938
648	5406.894742
649	5405.192624
650	5404.903369
651	5404.479671
652	5402.065714
653	5400.587295
654	5399.821096
655	5397.745359
656	5397.11868
657	5395.29903
658	5393.328021
659	5391.669382
660	5390.134301
661	5388.602375
662	5387.842691
663	5386.020242
664	5384.377768
665	5383.288251
666	5381.911511
667	5380.789264
668	5378.351115
669	5377.296396
670	5374.796162
671	5373.71061
672	5372.246457
673	5371.24973
674	5370.097348
675	5368.814751
676	5368.079367
677	5365.724899
678	5363.684809
679	5361.350332
680	5359.29712
681	5357.272265
682	5355.317624
683	5354.144916
684	5353.124222
685	5351.35279
686	5350.695189
687	5348.777732
688	5347.942248
689	5346.325983
690	5345.235063
691	5343.816421
692	5342.875597
693	5341.789509
694	5339.112395
695	5338.653444
696	5337.437839
697	5335.293784
698	5334.384704
699	5332.758137
700	5330.382154
701	5328.073178
702	5326.988812
703	5325.386207
704	5324.502137
705	5322.725882
706	5321.871088
707	5321.072727
708	5319.176242
709	5318.066027
710	5317.459818
711	5316.842296
712	5315.788764
713	5314.088628
714	5313.944772
715	5313.05066
716	5310.930835
717	5309.706898
718	5308.5564
719	5308.004979
720	5306.031861
721	5304.661958
722	5304.085957
723	5302.907749
724	5301.854701
725	5300.488764
726	5298.924325
727	5298.698797
728	5298.124833
729	5297.190993
730	5295.615103
731	5294.427886
732	5292.981012
733	5291.657301
734	5289.418161
735	5287.621488
736	5285.938871
737	5284.507627
738	5281.999541
739	5281.472855
740	5280.70025
741	5279.348986
742	5277.320798
743	5275.530387
744	5273.916115
745	5272.153976
746	5270.365457
747	5269.266039
748	5268.437908
749	5267.036822
750	5266.040649
751	5264.193528
752	5263.450598
753	5262.477798
754	5261.765128
755	5259.686735
756	5258.720397
757	5257.010783
758	5255.475388
759	5252.941708
760	5252.152267
761	5249.467768
762	5247.724342
763	5246.751637
764	5245.732365
765	5245.173942
766	5244.540682
767	5243.871684
768	5243.179483
769	5240.686583
770	5240.22486
771	5239.895714
772	5238.852504
773	5237.32531
774	5236.518421
775	5235.658929
776	5235.028289
777	5233.12558
778	5232.43233
779	5231.245996
780	5230.650432
781	5229.381636
782	5228.527153
783	5226.443916
784	5225.796046
785	5224.067162
786	5223.249748
787	5222.323095
788	5221.177017
789	5219.219392
790	5218.214353
791	5215.399756
792	5213.872081
793	5213.142715
794	5212.549802
795	5211.442711
796	5210.697686
797	5209.699272
798	5209.329793
799	5208.564199
800	5207.346989
801	5206.617062
802	5205.090978
803	5203.657692
804	5202.801937
805	5201.789097
806	5201.200193
807	5199.545831
808	5198.672058
809	5197.321984
810	5195.845977
811	5194.021233
812	5192.679613
813	5191.868852
814	5190.676652
815	5189.463441
816	5188.039851
817	5186.746718
818	5185.93049
819	5184.764462
820	5182.892815
821	5180.711072
822	5179.098274
823	5178.046611
824	5177.170973
825	5176.21814
826	5174.835288
827	5173.306814
828	5171.672301
829	5170.664485
830	5168.943243
831	5167.978564
832	5166.701109
833	5164.827273
834	5163.948541
835	5162.650173
836	5161.959762
837	5160.584298
838	5158.975695
839	5157.360826
840	5156.332617
841	5155.305006
842	5153.941594
843	5153.022825
844	5152.194316
845	5150.91742
846	5150.257596
847	5149.218214
848	5148.693935
849	5148.256386
850	5147.205858
851	5146.096974
852	5145.172857
853	5143.690154
854	5142.712886
855	5141.615058
856	5140.109132
857	5138.913516
858	5138.508932
859	5137.742762
860	5137.009838
861	5136.070153
862	5135.041572
863	5134.396593
864	5133.405157
865	5131.697963
866	5130.839101
867	5129.652662
868	5129.038271
869	5128.335767
870	5127.002854
871	5126.445991
872	5125.550532
873	5124.076108
874	5123.26599
875	5122.728093
876	5122.087851
877	5121.121537
878	5119.488972
879	5118.581249
880	5117.228574
881	5116.194555
882	5114.642503
883	5113.057445
884	5111.345513
885	5111.069778
886	5109.90861
887	5109.369476
888	5108.392452
889	5107.503864
890	5105.202337
891	5103.322294
892	5101.427538
893	5099.832552
894	5098.784699
895	5097.612703
896	5095.918902
897	5094.754818
898	5093.217079
899	5090.42848
900	5089.096485
901	5088.478029
902	5087.453575
903	5086.412164
904	5084.985306
905	5084.036806
906	5083.177118
907	5082.207828
908	5081.379338
909	5080.356583
910	5078.925584
911	5078.015506
912	5076.577013
913	5075.168886
914	5073.216234
915	5071.797534
916	5070.871277
917	5070.407986
918	5069.309188
919	5068.170577
920	5067.941124
921	5067.336789
922	5066.288963
923	5064.882497
924	5063.811369
925	5062.505446
926	5061.22584
927	5059.543017
928	5059.00527
929	5057.161298
930	5056.182844
931	5055.689791
932	5054.186328
933	5052.777899
934	5052.215582
935	5051.976301
936	5051.425961
937	5050.445551
938	5049.787782
939	5048.559029
940	5047.469218
941	5047.086246
942	5045.816328
943	5045.364629
944	5042.976624
945	5041.89318
946	5040.443858
947	5038.902325
948	5037.662163
949	5035.847401
950	5035.361964
951	5034.13156
952	5033.392723
953	5032.342736
954	5031.655347
955	5030.011805
956	5028.355562
957	5027.474299
958	5027.010248
959	5024.550993
960	5023.991444
961	5022.619644
962	5021.90023
963	5020.112661
964	5018.66153
965	5016.967644
966	5016.532055
967	5014.927774
968	5014.298884
969	5013.036621
970	5012.204553
971	5011.366609
972	5010.361485
973	5009.375002
974	5008.650284
975	5006.505159
976	5004.371253
977	5003.351539
978	5003.093828
979	5001.984188
980	5000.910815
981	5000.297343
982	4999.722164
983	4998.395298
984	4997.542562
985	4996.662565
986	4995.528168
987	4994.718537
988	4994.593105
989	4993.068046
990	4992.514169
991	4992.0353
992	4991.495872
993	4990.832404
994	4990.313167
995	4989.733559
996	4988.809629
997	4987.342998
998	4986.473751
999	4985.371289
